seq,aou,english,french,spanish,order,family,genus,species,sp.bbs,sci_name,GenLength
338,02510,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,Charadriiformes,Scolopacidae,Limosa,haemastica,2510,Limosa haemastica,6.29698994
339,02490,Marbled Godwit,Barge marbrée,Limosa fedoa,Charadriiformes,Scolopacidae,Limosa,fedoa,2490,Limosa fedoa,7.439255425
340,02830,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,Charadriiformes,Scolopacidae,Arenaria,interpres,2830,Arenaria interpres,6.151059997
341,02840,Black Turnstone,Tournepierre noir,Arenaria melanocephala,Charadriiformes,Scolopacidae,Arenaria,melanocephala,2840,Arenaria melanocephala,5.55907662
343,02340,Red Knot,Bécasseau maubèche,Calidris canutus,Charadriiformes,Scolopacidae,Calidris,canutus,2340,Calidris canutus,6.902901295
344,02820,Surfbird,Bécasseau du ressac,Calidris virgata,Charadriiformes,Scolopacidae,Calidris,virgata,2820,Calidris virgata,5.17868575
345,02600,Ruff,Combattant varié,Calidris pugnax,Charadriiformes,Scolopacidae,Calidris,pugnax,2600,Calidris pugnax,5.195099056
347,02380,Sharp-tailed Sandpiper,Bécasseau à queue pointue,Calidris acuminata,Charadriiformes,Scolopacidae,Calidris,acuminata,2380,Calidris acuminata,5.090169128
348,02330,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,Charadriiformes,Scolopacidae,Calidris,himantopus,2330,Calidris himantopus,4.172919294
353,02422,Red-necked Stint,Bécasseau à col roux,Calidris ruficollis,Charadriiformes,Scolopacidae,Calidris,ruficollis,2422,Calidris ruficollis,4.432837722
354,02480,Sanderling,Bécasseau sanderling,Calidris alba,Charadriiformes,Scolopacidae,Calidris,alba,2480,Calidris alba,6.351770644
355,02430,Dunlin,Bécasseau variable,Calidris alpina,Charadriiformes,Scolopacidae,Calidris,alpina,2430,Calidris alpina,7.199400859
356,02356,Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,Charadriiformes,Scolopacidae,Calidris,ptilocnemis,2356,Calidris ptilocnemis,4.318243167
357,02350,Purple Sandpiper,Bécasseau violet,Calidris maritima,Charadriiformes,Scolopacidae,Calidris,maritima,2350,Calidris maritima,7.092913384
358,02410,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,Charadriiformes,Scolopacidae,Calidris,bairdii,2410,Calidris bairdii,3.570053391
360,02420,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,Charadriiformes,Scolopacidae,Calidris,minutilla,2420,Calidris minutilla,3.403927912
361,02400,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,Charadriiformes,Scolopacidae,Calidris,fuscicollis,2400,Calidris fuscicollis,3.609445038
362,02620,Buff-breasted Sandpiper,Bécasseau roussâtre,Calidris subruficollis,Charadriiformes,Scolopacidae,Calidris,subruficollis,2620,Calidris subruficollis,3.93558609
363,02390,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,Charadriiformes,Scolopacidae,Calidris,melanotos,2390,Calidris melanotos,4.396025167
364,02460,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,Charadriiformes,Scolopacidae,Calidris,pusilla,2460,Calidris pusilla,3.918940547
365,02470,Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,Charadriiformes,Scolopacidae,Calidris,mauri,2470,Calidris mauri,4.041078866
366,02429,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Calidris sp.,Charadriiformes,Scolopacidae,Calidris,sp.,2429,Calidris sp.,NA
367,02310,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,Charadriiformes,Scolopacidae,Limnodromus,griseus,2310,Limnodromus griseus,3.974131267
368,02320,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus,2320,Limnodromus scolopaceus,3.771513142
369,02327,unid. Short-billed / Long-billed Dowitcher,unid Bécassin roux / Bécassin à long bec,Limnodromus griseus / scolopaceus,Charadriiformes,Scolopacidae,Limnodromus,griseus / scolopaceus,2327,Limnodromus griseus / scolopaceus,NA
372,02280,American Woodcock,Bécasse d'Amérique,Scolopax minor,Charadriiformes,Scolopacidae,Scolopax,minor,2280,Scolopax minor,3.860470492
376,02300,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,Charadriiformes,Scolopacidae,Gallinago,delicata,2300,Gallinago delicata,2.606551743
378,02631,Common Sandpiper,Chevalier guignette,Actitis hypoleucos,Charadriiformes,Scolopacidae,Actitis,hypoleucos,2631,Actitis hypoleucos,4.422382063
379,02630,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,Charadriiformes,Scolopacidae,Actitis,macularius,2630,Actitis macularius,3.655805581
381,02560,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,Charadriiformes,Scolopacidae,Tringa,solitaria,2560,Tringa solitaria,3.038332371
383,02590,Wandering Tattler,Chevalier errant,Tringa incana,Charadriiformes,Scolopacidae,Tringa,incana,2590,Tringa incana,5.4776429
384,02550,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,Charadriiformes,Scolopacidae,Tringa,flavipes,2550,Tringa flavipes,4.061051404
385,02555,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Tringa melanoleuca / flavipes,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes,2555,Tringa melanoleuca / flavipes,NA
386,02580,Willet,Chevalier semipalmé,Tringa semipalmata,Charadriiformes,Scolopacidae,Tringa,semipalmata,2580,Tringa semipalmata,5.541358723
388,02530,Common Greenshank,Chevalier aboyeur,Tringa nebularia,Charadriiformes,Scolopacidae,Tringa,nebularia,2530,Tringa nebularia,6.344784467
389,02540,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,Charadriiformes,Scolopacidae,Tringa,melanoleuca,2540,Tringa melanoleuca,4.856839238
393,02240,Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,Charadriiformes,Scolopacidae,Phalaropus,tricolor,2240,Phalaropus tricolor,3.18429541
394,02230,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,Charadriiformes,Scolopacidae,Phalaropus,lobatus,2230,Phalaropus lobatus,3.222582303
395,02220,Red Phalarope,Phalarope à bec large,Phalaropus fulicarius,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,2220,Phalaropus fulicarius,3.253246216
399,00360,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,360,Stercorarius pomarinus,9.47828739
400,00370,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,370,Stercorarius parasiticus,11.21131415
401,00380,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,380,Stercorarius longicaudus,7.780979306
403,00300,Common Murre,Guillemot marmette,Uria aalge,Charadriiformes,Alcidae,Uria,aalge,300,Uria aalge,14.77223838
404,00310,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,Charadriiformes,Alcidae,Uria,lomvia,310,Uria lomvia,12.9330039
405,00315,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Uria aalge / lomvia,Charadriiformes,Laridae,Uria,aalge / lomvia,315,Uria aalge / lomvia,NA
406,00320,Razorbill,Petit Pingouin,Alca torda,Charadriiformes,Alcidae,Alca,torda,320,Alca torda,16.36956071
407,00270,Black Guillemot,Guillemot à miroir,Cepphus grylle,Charadriiformes,Alcidae,Cepphus,grylle,270,Cepphus grylle,9.218016945
408,00290,Pigeon Guillemot,Guillemot colombin,Cepphus columba,Charadriiformes,Alcidae,Cepphus,columba,290,Cepphus columba,7.710186337
410,00230,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,Charadriiformes,Alcidae,Brachyramphus,marmoratus,230,Brachyramphus marmoratus,6.559886244
411,00240,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,Charadriiformes,Alcidae,Brachyramphus,brevirostris,240,Brachyramphus brevirostris,6.346917839
415,00210,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,Charadriiformes,Alcidae,Synthliboramphus,antiquus,210,Synthliboramphus antiquus,5.455651679
416,00160,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,160,Ptychoramphus aleuticus,6.853379493
421,00150,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,Charadriiformes,Alcidae,Cerorhinca,monocerata,150,Cerorhinca monocerata,7.084329275
423,00140,Horned Puffin,Macareux cornu,Fratercula corniculata,Charadriiformes,Alcidae,Fratercula,corniculata,140,Fratercula corniculata,9.558374051
424,00120,Tufted Puffin,Macareux huppé,Fratercula cirrhata,Charadriiformes,Alcidae,Fratercula,cirrhata,120,Fratercula cirrhata,9.595511299
426,00400,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Charadriiformes,Laridae,Rissa,tridactyla,400,Rissa tridactyla,9.781390857
429,00620,Sabine's Gull,Mouette de Sabine,Xema sabini,Charadriiformes,Laridae,Xema,sabini,620,Xema sabini,6.057992649
430,00600,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Charadriiformes,Laridae,Chroicocephalus,philadelphia,600,Chroicocephalus philadelphia,6.67781153
432,00551,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,ridibundus,551,Chroicocephalus ridibundus,9.848458435
433,00601,Little Gull,Mouette pygmée,Hydrocoloeus minutus,Charadriiformes,Laridae,Hydrocoloeus,minutus,601,Hydrocoloeus minutus,5.336173634
434,00610,Ross's Gull,Mouette rosée,Rhodostethia rosea,Charadriiformes,Laridae,Rhodostethia,rosea,610,Rhodostethia rosea,5.354197202
436,00580,Laughing Gull,Mouette atricille,Leucophaeus atricilla,Charadriiformes,Laridae,Leucophaeus,atricilla,580,Leucophaeus atricilla,7.865540035
437,00590,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Charadriiformes,Laridae,Leucophaeus,pipixcan,590,Leucophaeus pipixcan,7.124439976
440,00570,Heermann's Gull,Goéland de Heermann,Larus heermanni,Charadriiformes,Laridae,Larus,heermanni,570,Larus heermanni,8.913901392
441,00550,Mew Gull,Goéland cendré,Larus canus,Charadriiformes,Laridae,Larus,canus,550,Larus canus,10.67097076
442,00540,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,Charadriiformes,Laridae,Larus,delawarensis,540,Larus delawarensis,10.06890851
443,00490,Western Gull,Goéland d'Audubon,Larus occidentalis,Charadriiformes,Laridae,Larus,occidentalis,490,Larus occidentalis,12.27999724
445,00530,California Gull,Goéland de Californie,Larus californicus,Charadriiformes,Laridae,Larus,californicus,530,Larus californicus,9.7533411310000009
446,00510,Herring Gull,Goéland argenté,Larus argentatus,Charadriiformes,Laridae,Larus,argentatus,510,Larus argentatus,14.07477897
448,00430,Iceland Gull,Goéland arctique,Larus glaucoides,Charadriiformes,Laridae,Larus,glaucoides,430,Larus glaucoides,10.84160531
449,00500,Lesser Black-backed Gull,Goéland brun,Larus fuscus,Charadriiformes,Laridae,Larus,fuscus,500,Larus fuscus,12.62376603
450,00480,Slaty-backed Gull,Goéland à manteau ardoisé,Larus schistisagus,Charadriiformes,Laridae,Larus,schistisagus,480,Larus schistisagus,9.509962568
451,00440,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,Charadriiformes,Laridae,Larus,glaucescens,440,Larus glaucescens,13.81947507
452,00495,hybrid Western Gull x Glaucous-winged Gull,hybride Goéland à ailes grises x d'Audubon,Larus occidentalis x glaucescens,Charadriiformes,Laridae,Larus,occidentalis x glaucescens,495,Larus occidentalis x glaucescens,NA
453,00420,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,Charadriiformes,Laridae,Larus,hyperboreus,420,Larus hyperboreus,10.6158173
454,00470,Great Black-backed Gull,Goéland marin,Larus marinus,Charadriiformes,Laridae,Larus,marinus,470,Larus marinus,12.51374299
456,00534,unid. gull,unid Goéland sp.,Gull sp.,Charadriiformes,Laridae,Gull,sp.,534,Gull sp.,NA
463,00730,Aleutian Tern,Sterne des Aléoutiennes,Onychoprion aleuticus,Charadriiformes,Laridae,Onychoprion,aleuticus,730,Onychoprion aleuticus,8.94876682
464,00740,Least Tern,Petite Sterne,Sternula antillarum,Charadriiformes,Laridae,Sternula,antillarum,740,Sternula antillarum,8.372812288
466,00630,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,Charadriiformes,Laridae,Gelochelidon,nilotica,630,Gelochelidon nilotica,9.747824285
467,00640,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Charadriiformes,Laridae,Hydroprogne,caspia,640,Hydroprogne caspia,9.749406689
468,00770,Black Tern,Guifette noire,Chlidonias niger,Charadriiformes,Laridae,Chlidonias,niger,770,Chlidonias niger,5.682020735
471,00720,Roseate Tern,Sterne de Dougall,Sterna dougallii,Charadriiformes,Laridae,Sterna,dougallii,720,Sterna dougallii,8.35663561
472,00700,Common Tern,Sterne pierregarin,Sterna hirundo,Charadriiformes,Laridae,Sterna,hirundo,700,Sterna hirundo,10.39724168
473,00710,Arctic Tern,Sterne arctique,Sterna paradisaea,Charadriiformes,Laridae,Sterna,paradisaea,710,Sterna paradisaea,11.27037394
474,00690,Forster's Tern,Sterne de Forster,Sterna forsteri,Charadriiformes,Laridae,Sterna,forsteri,690,Sterna forsteri,7.679346806
475,00650,Royal Tern,Sterne royale,Thalasseus maximus,Charadriiformes,Laridae,Thalasseus,maximus,650,Thalasseus maximus,10.50757482
476,00670,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,Charadriiformes,Laridae,Thalasseus,sandvicensis,670,Thalasseus sandvicensis,8.530597521
477,00660,Elegant Tern,Sterne élégante,Thalasseus elegans,Charadriiformes,Laridae,Thalasseus,elegans,660,Thalasseus elegans,8.902271266
478,00634,unid. tern,unid Sterne sp.,Tern sp.,Charadriiformes,Laridae,Tern,sp.,634,Tern sp.,NA
479,00800,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,Charadriiformes,Laridae,Rynchops,niger,800,Rynchops niger,7.011577329
482,01130,Red-billed Tropicbird,Phaéton à bec rouge,Phaethon aethereus,Phaethontiformes,Phaethontidae,Phaethon,aethereus,1130,Phaethon aethereus,10.371904
484,00110,Red-throated Loon,Plongeon catmarin,Gavia stellata,Gaviiformes,Gaviidae,Gavia,stellata,110,Gavia stellata,8.185562761
485,00090,Arctic Loon,Plongeon arctique,Gavia arctica,Gaviiformes,Gaviidae,Gavia,arctica,90,Gavia arctica,9.441438261
486,00100,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Gaviiformes,Gaviidae,Gavia,pacifica,100,Gavia pacifica,9.053883332
487,00070,Common Loon,Plongeon huard,Gavia immer,Gaviiformes,Gaviidae,Gavia,immer,70,Gavia immer,11.29641116
488,00080,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,Gaviiformes,Gaviidae,Gavia,adamsii,80,Gavia adamsii,11.08256021
489,00077,unid. loon,plongeon sp.,Gavia sp.,Gaviiformes,Gaviidae,Gavia,sp.,77,Gavia sp.,NA
506,01060,Leach's Storm-Petrel,Océanite cul-blanc,Hydrobates leucorhous,Procellariiformes,Hydrobatidae,Hydrobates,leucorhous,1060,Hydrobates leucorhous,14.81217019
516,00860,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,Procellariiformes,Procellariidae,Fulmarus,glacialis,860,Fulmarus glacialis,25.34141952
538,00880,Cory's Shearwater,Puffin cendré,Calonectris diomedea,Procellariiformes,Procellariidae,Calonectris,diomedea,880,Calonectris diomedea,13.74119658
549,00900,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Procellariiformes,Procellariidae,Puffinus,puffinus,900,Puffinus puffinus,19.8224991
556,01880,Wood Stork,Tantale d'Amérique,Mycteria americana,Ciconiiformes,Ciconiidae,Mycteria,americana,1880,Mycteria americana,8.840286446
558,01280,Magnificent Frigatebird,Frégate superbe,Fregata magnificens,Suliformes,Fregatidae,Fregata,magnificens,1280,Fregata magnificens,12.58221354
560,01140,Masked Booby,Fou masqué,Sula dactylatra,Suliformes,Sulidae,Sula,dactylatra,1140,Sula dactylatra,11.092777
562,01141,Blue-footed Booby,Fou à pieds bleus,Sula nebouxii,Suliformes,Sulidae,Sula,nebouxii,1141,Sula nebouxii,9.578962811
563,01150,Brown Booby,Fou brun,Sula leucogaster,Suliformes,Sulidae,Sula,leucogaster,1150,Sula leucogaster,11.58103036
565,01170,Northern Gannet,Fou de Bassan,Morus bassanus,Suliformes,Sulidae,Morus,bassanus,1170,Morus bassanus,15.03603245
566,01180,Anhinga,Anhinga d'Amérique,Anhinga anhinga,Suliformes,Anhingidae,Anhinga,anhinga,1180,Anhinga anhinga,6.251448767
567,01220,Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,1220,Phalacrocorax penicillatus,7.174787446
569,01230,Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae,Phalacrocorax,pelagicus,1230,Phalacrocorax pelagicus,7.14754948
570,01207,unid. west coast cormorant,unid Cormoran de la côte ouest,Phalacrocorax sp.,Suliformes,Phalacrocoracidae,Phalacrocorax,sp.,1207,Phalacrocorax sp.,NA
571,01190,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,1190,Phalacrocorax carbo,8.710598315
572,01206,unid. Double-crested Cormorant / Great Cormorant,Cormoran à aigrettes / Grand Cormoran,Phalacrocorax auritus / carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus / carbo,1206,Phalacrocorax auritus / carbo,NA
573,01200,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,1200,Phalacrocorax auritus,7.21950274
574,01205,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran à aigrettes,Phalacrocorax brasilianus / auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus / auritus,1205,Phalacrocorax brasilianus / auritus,NA
575,01210,Neotropic Cormorant,Cormoran vigua,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus,1210,Phalacrocorax brasilianus,5.464667654
576,01250,American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,1250,Pelecanus erythrorhynchos,15.03473199
577,01260,Brown Pelican,Pélican brun,Pelecanus occidentalis,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,1260,Pelecanus occidentalis,9.953688603
579,01900,American Bittern,Butor d'Amérique,Botaurus lentiginosus,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,1900,Botaurus lentiginosus,3.52468164
581,01910,Least Bittern,Petit Blongios,Ixobrychus exilis,Pelecaniformes,Ardeidae,Ixobrychus,exilis,1910,Ixobrychus exilis,3.135139649
583,01940,Great Blue Heron,Grand Héron,Ardea herodias,Pelecaniformes,Ardeidae,Ardea,herodias,1940,Ardea herodias,7.44001806
584,01920,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Ardea herodias occidentalis,Pelecaniformes,Ardeidae,Ardea,herodias occidentalis,1920,Ardea herodias occidentalis,7.44001806
586,01960,Great Egret,Grande Aigrette,Ardea alba,Pelecaniformes,Ardeidae,Ardea,alba,1960,Ardea alba,6.036657469
589,01961,Little Egret,Aigrette garzette,Egretta garzetta,Pelecaniformes,Ardeidae,Egretta,garzetta,1961,Egretta garzetta,4.243232507
591,01970,Snowy Egret,Aigrette neigeuse,Egretta thula,Pelecaniformes,Ardeidae,Egretta,thula,1970,Egretta thula,4.106743696
592,02000,Little Blue Heron,Aigrette bleue,Egretta caerulea,Pelecaniformes,Ardeidae,Egretta,caerulea,2000,Egretta caerulea,3.463573215
593,01990,Tricolored Heron,Aigrette tricolore,Egretta tricolor,Pelecaniformes,Ardeidae,Egretta,tricolor,1990,Egretta tricolor,5.300525251
594,01980,Reddish Egret,Aigrette roussâtre,Egretta rufescens,Pelecaniformes,Ardeidae,Egretta,rufescens,1980,Egretta rufescens,8.27913135
595,02001,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Pelecaniformes,Ardeidae,Bubulcus,ibis,2001,Bubulcus ibis,6.069601865
597,02010,Green Heron,Héron vert,Butorides virescens,Pelecaniformes,Ardeidae,Butorides,virescens,2010,Butorides virescens,4.210398689
600,02020,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,2020,Nycticorax nycticorax,5.994405196
601,02030,Yellow-crowned Night-Heron,Bihoreau violacé,Nyctanassa violacea,Pelecaniformes,Ardeidae,Nyctanassa,violacea,2030,Nyctanassa violacea,4.640267872
602,02035,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Nycticorax / Nyctanassa nycticorax / violacea,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea,2035,Nycticorax / Nyctanassa nycticorax / violacea,NA
604,01945,unid. heron / egret,unid héron / aigrette sp.,Ardeid sp.,Pelecaniformes,Ardeidae,Ardeid,sp.,1945,Ardeid sp.,NA
605,01840,White Ibis,Ibis blanc,Eudocimus albus,Pelecaniformes,Threskiornithidae,Eudocimus,albus,1840,Eudocimus albus,6.506976058
607,01860,Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,1860,Plegadis falcinellus,7.246297223
608,01870,White-faced Ibis,Ibis à face blanche,Plegadis chihi,Pelecaniformes,Threskiornithidae,Plegadis,chihi,1870,Plegadis chihi,5.140344254
609,01861,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Plegadis falcinellus / chihi,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus / chihi,1861,Plegadis falcinellus / chihi,NA
610,01830,Roseate Spoonbill,Spatule rosée,Platalea ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,1830,Platalea ajaja,7.852077571
611,03240,California Condor,Condor de Californie,Gymnogyps californianus,Cathartiformes,Cathartidae,Gymnogyps,californianus,3240,Gymnogyps californianus,19.02782152
613,03260,Black Vulture,Urubu noir,Coragyps atratus,Cathartiformes,Cathartidae,Coragyps,atratus,3260,Coragyps atratus,14.19923167
614,03250,Turkey Vulture,Urubu à tête rouge,Cathartes aura,Cathartiformes,Cathartidae,Cathartes,aura,3250,Cathartes aura,6.805193786
615,03255,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Coragyps / Cathartes atratus / aura,Cathartiformes,Cathartidae,Coragyps / Cathartes,atratus / aura,3255,Coragyps / Cathartes atratus / aura,NA
617,03640,Osprey,Balbuzard pêcheur,Pandion haliaetus,Accipitriformes,Pandionidae,Pandion,haliaetus,3640,Pandion haliaetus,9.901877185
618,03280,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,Accipitriformes,Accipitridae,Elanus,leucurus,3280,Elanus leucurus,4.286761197
619,03271,Hook-billed Kite,Bec-en-croc de Temminck,Chondrohierax uncinatus,Accipitriformes,Accipitridae,Chondrohierax,uncinatus,3271,Chondrohierax uncinatus,5.812065414
621,03270,Swallow-tailed Kite,Naucler à queue fourchue,Elanoides forficatus,Accipitriformes,Accipitridae,Elanoides,forficatus,3270,Elanoides forficatus,6.56465429
624,03490,Golden Eagle,Aigle royal,Aquila chrysaetos,Accipitriformes,Accipitridae,Aquila,chrysaetos,3490,Aquila chrysaetos,16.25526957
629,03310,Northern Harrier,Busard des marais,Circus hudsonius,Accipitriformes,Accipitridae,Circus,hudsonius,3310,Circus hudsonius,4.471506812
631,03320,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Accipitriformes,Accipitridae,Accipiter,striatus,3320,Accipiter striatus,5.472726925
632,03330,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Accipitriformes,Accipitridae,Accipiter,cooperii,3330,Accipiter cooperii,5.552181056
634,03340,Northern Goshawk,Autour des palombes,Accipiter gentilis,Accipitriformes,Accipitridae,Accipiter,gentilis,3340,Accipiter gentilis,7.483527603
635,03333,unid. Accipiter hawk,unid épervier sp.,Accipiter sp.,Accipitriformes,Accipitridae,Accipiter,sp.,3333,Accipiter sp.,NA
637,03520,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,3520,Haliaeetus leucocephalus,14.1937938
640,03290,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,Accipitriformes,Accipitridae,Ictinia,mississippiensis,3290,Ictinia mississippiensis,5.087532041
644,03300,Snail Kite,Milan des marais,Rostrhamus sociabilis,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,3300,Rostrhamus sociabilis,6.950263444
645,03450,Common Black Hawk,Buse noire,Buteogallus anthracinus,Accipitriformes,Accipitridae,Buteogallus,anthracinus,3450,Buteogallus anthracinus,6.337329136
649,03350,Harris's Hawk,Buse de Harris,Parabuteo unicinctus,Accipitriformes,Accipitridae,Parabuteo,unicinctus,3350,Parabuteo unicinctus,6.591665147
650,03410,White-tailed Hawk,Buse à queue blanche,Geranoaetus albicaudatus,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,3410,Geranoaetus albicaudatus,6.56131443
652,03460,Gray Hawk,Buse grise,Buteo plagiatus,Accipitriformes,Accipitridae,Buteo,plagiatus,3460,Buteo plagiatus,5.921470545
653,03390,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Accipitriformes,Accipitridae,Buteo,lineatus,3390,Buteo lineatus,5.553059841
654,03430,Broad-winged Hawk,Petite Buse,Buteo platypterus,Accipitriformes,Accipitridae,Buteo,platypterus,3430,Buteo platypterus,5.770490449
655,03440,Short-tailed Hawk,Buse à queue courte,Buteo brachyurus,Accipitriformes,Accipitridae,Buteo,brachyurus,3440,Buteo brachyurus,6.410114842
656,03420,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Accipitriformes,Accipitridae,Buteo,swainsoni,3420,Buteo swainsoni,8.447092745
657,03400,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,Accipitriformes,Accipitridae,Buteo,albonotatus,3400,Buteo albonotatus,6.688781903
658,03370,Red-tailed Hawk (all forms),Buse à queue rousse (toutes les formes),Buteo jamaicensis,Accipitriformes,Accipitridae,Buteo,jamaicensis,3370,Buteo jamaicensis,9.188919209
659,03380,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Buteo jamaicensis harlani,Accipitriformes,Accipitridae,Buteo,jamaicensis harlani,3380,Buteo jamaicensis harlani,9.188919209
660,03470,Rough-legged Hawk,Buse pattue,Buteo lagopus,Accipitriformes,Accipitridae,Buteo,lagopus,3470,Buteo lagopus,7.360487325
661,03480,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Accipitriformes,Accipitridae,Buteo,regalis,3480,Buteo regalis,6.860257537
662,03451,unid. Buteo hawk,unid Buse sp.,Buteo sp.,Accipitriformes,Accipitridae,Buteo,sp.,3451,Buteo sp.,NA
663,03650,Barn Owl,Effraie des clochers,Tyto alba,Strigiformes,Tytonidae,Tyto,alba,3650,Tyto alba,5.81585489
665,03740,Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,Strigiformes,Strigidae,Psiloscops,flammeolus,3740,Psiloscops flammeolus,2.988728353
